paper_id,year,track,team_number,school,title,award_level,award_confidence,page_count,char_count,extract_status,file_relpath,rendered_pages,notes
2004_X_中山C(压缩版）_44badde7,2004,,,中山大学,售后服务数据的运用,待确认,low,10,12964,ok,2004年中国研究生数学建模竞赛优秀论文/中山C(压缩版）.pdf,,检测到广告/联系方式水印（未修改原文）
2004_X_信息工程大学电子技术学院的研究生建模竞赛获奖论文实用下料数学模型,2004,,,信息工程大学,实用下料的数学模型,待确认,low,5,9963,ok,2004年中国研究生数学建模竞赛优秀论文/信息工程大学电子技术学院的研究生建模竞赛获奖论文实用下料数学模型.pdf,,
2004_X_华东理工大学数模竞赛472队的论文,2004,,,华东理工大学,有交货时间限制的大规模实用下料问题,待确认,low,5,9297,ok,2004年中国研究生数学建模竞赛优秀论文/华东理工大学数模竞赛472队的论文.pdf,,
2004_X_南京大学论文_129ba1b7,2004,,,南京大学,发现空间目标并定位的模型1,待确认,low,5,8682,ok,2004年中国研究生数学建模竞赛优秀论文/南京大学论文.pdf,,
2004_X_厦门大学研究生建模论文_a36f8628,2004,,,厦门大学,汽车千车故障数的预测与分析,待确认,low,6,12220,ok,2004年中国研究生数学建模竞赛优秀论文/厦门大学研究生建模论文.pdf,,
2004_X_售后服务数据的应用_66dc76e6,2004,,,国防科技大学,基于样条模型的汽车可靠性双向联合预测,待确认,low,5,13071,ok,2004年中国研究生数学建模竞赛优秀论文/售后服务数据的应用.pdf,,
2004_X_武汉大学竞赛论文（10面）研究,2004,,,武汉大学,研究生录取问题的双向选择策略,一等奖,medium,10,18196,ok,2004年中国研究生数学建模竞赛优秀论文/武汉大学竞赛论文（10面）研究.pdf,,
2004_X_王文娟论文基于最大满意度的研究生录取问题（new),2004,,,成都理工大学,基于最大满意度的研究生录取问题,待确认,low,5,11177,ok,2004年中国研究生数学建模竞赛优秀论文/王文娟论文基于最大满意度的研究生录取问题（new).pdf,,
2004_X_目标定位最优布局的研究（王郑耀，汪洪武，杨敏）,2004,,,西安交通大学,全国首届部分高校研究生数模竞赛,待确认,low,30,26877,ok,2004年中国研究生数学建模竞赛优秀论文/目标定位最优布局的研究（王郑耀，汪洪武，杨敏）.pdf,,
2004_X_装甲兵研究生录取问题（投稿）,2004,,,装甲兵工程学院,研究生录取的优化模型,待确认,low,5,9079,ok,2004年中国研究生数学建模竞赛优秀论文/装甲兵研究生录取问题（投稿）.pdf,,
2005_X_1415 B题论文_8e5cd59e,2005,,,,空中加油问题的讨论,待确认,low,19,32136,ok,2005年中国研究生数学建模竞赛优秀论文/1415 B题论文.pdf,,
2005_X_1418-A题_93b825ea,2005,,,,高速公路行车时间估计及最优路径选择问题,待确认,low,14,17272,ok,2005年中国研究生数学建模竞赛优秀论文/1418-A题.pdf,,
2005_X_d题论文_039008b6,2005,,,,仓库容量有限条件下的随机存贮管理,待确认,low,9,24873,ok,2005年中国研究生数学建模竞赛优秀论文/d题论文.pdf,,
2005_X_交通网络的通行时间预测与最优路径决策1433-A 王邦进 唐蕾 姜  萍,2005,,,,交通网络的通行时间预测与最优路径决策,待确认,low,17,31423,ok,2005年中国研究生数学建模竞赛优秀论文/交通网络的通行时间预测与最优路径决策1433-A 王邦进 唐蕾 姜  萍.pdf,,
2005_X_仓库容量有限条件下的随机存贮管理,2005,,,,仓库容量有限条件下的随机存贮管理,待确认,low,19,24974,ok,2005年中国研究生数学建模竞赛优秀论文/仓库容量有限条件下的随机存贮管理.pdf,,
2005_X_余自若张明波杨风利a_8bc5ae7c,2005,,,,全国第二届部分高校研究生数模竞赛,待确认,low,21,28368,ok,2005年中国研究生数学建模竞赛优秀论文/余自若张明波杨风利a.pdf,,
2005_X_城市出租车交通规划综合模型,2005,,,,城市出租车交通规划综合模型,待确认,low,37,59559,ok,2005年中国研究生数学建模竞赛优秀论文/城市出租车交通规划综合模型.pdf,,
2005_X_排队论模型解决出租车最佳数量预测,2005,,,,最近几年，出租车经常成为居民、新闻媒体议论的话题。某城市居民普遍反映出租,待确认,low,40,44894,ok,2005年中国研究生数学建模竞赛优秀论文/排队论模型解决出租车最佳数量预测.pdf,,检测到广告/联系方式水印（未修改原文）
2005_X_数学建模报告B题_胡亚峰,2005,,,,全国第二届部分高校研究生数模竞赛,待确认,low,8,5961,ok,2005年中国研究生数学建模竞赛优秀论文/数学建模报告B题_胡亚峰.pdf,,
2005_X_论文_ecfbe1a1,2005,,,,全国第二届部分高校研究生数模竞赛,待确认,low,24,33936,ok,2005年中国研究生数学建模竞赛优秀论文/论文.pdf,,检测到广告/联系方式水印（未修改原文）
2005_X_论文1313_5cdcb75e,2005,,,,仓库容量有限条件下的随机存贮管理问题,待确认,low,29,37374,ok,2005年中国研究生数学建模竞赛优秀论文/论文1313.pdf,,
2005_X_飞机加油东南大学1035,2005,,,,全国第二届部分高校研究生数模竞赛,待确认,low,32,30531,ok,2005年中国研究生数学建模竞赛优秀论文/飞机加油东南大学1035.pdf,,
2006_X_10183011_166f2cd9,2006,,10183011,,全国第三届研究生数学建模竞赛,待确认,low,25,37312,ok,2006年中国研究生数学建模竞赛优秀论文/10183011.pdf,,
2006_X_10286020-C论文,2006,,10286020,,全国第三届研究生数学建模竞赛,待确认,low,17,17440,ok,2006年中国研究生数学建模竞赛优秀论文/10286020-C论文.pdf,,
2006_X_10394003_5d4c50c1,2006,,10394003,北京大学,全国第三届研究生数学建模竞赛,待确认,low,45,62063,ok,2006年中国研究生数学建模竞赛优秀论文/10394003.pdf,,
2006_X_Ad Hoc 网络中的区域划分和资源分配问题(正文),2006,,,,Ad Hoc 网络中的区域划分和资源分配问题,待确认,low,18,30378,ok,2006年中国研究生数学建模竞赛优秀论文/Ad Hoc 网络中的区域划分和资源分配问题(正文).pdf,,
2006_X_Ad Hoc网络中的区域划分和资源分配问题,2006,,,,全国第三届研究生数学建模竞赛,待确认,low,23,24895,ok,2006年中国研究生数学建模竞赛优秀论文/Ad Hoc网络中的区域划分和资源分配问题.pdf,,
2006_X_A题 02_33de6dce,2006,,,,本文讨论了Ad Hoc 网络在一个假定区域中针对不同条件建立覆盖区，以及信道分配,待确认,low,21,18092,ok,2006年中国研究生数学建模竞赛优秀论文/A题 02.pdf,,
2006_X_定稿2_7448d5e1,2006,,,,全国第三届研究生数学建模竞赛,待确认,low,22,35637,ok,2006年中国研究生数学建模竞赛优秀论文/定稿2.pdf,,
